id_præd;id_præst;præst_navn;id_dok;dato;periode;helligdag;udgivelses_type;udgiver;stift;år_født;år_død;stilling;affiliation;afviger;txt;final;bemærkninger;;;;;
126;19;Kaj Harald Leininger Munk;pr126_19;1942-12-25;1940-1945;jul_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
127;19;Kaj Harald Leininger Munk;pr127_19;1942-12-23;1940-1945;2jul_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
128;19;Kaj Harald Leininger Munk;pr128_19;1943-01-01;1940-1945;nyt_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;Om modstandskamp;;;;;
129;19;Kaj Harald Leininger Munk;pr129_19;1943-08-29;1940-1945;10tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;Efter samarbejdspolitikkens fald;;;;;
130;19;Kaj Harald Leininger Munk;pr130_19;1943-11-21;1940-1945;22tri_1;psa;Aalborg Universitetesforlag;NA;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
131;19;Kaj Harald Leininger Munk;pr131_19;1943-11-21;1940-1945;22tri_1;psa;Aalborg Universitetesforlag;NA;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
132;19;Kaj Harald Leininger Munk;pr132_19;1943-12-05;1940-1945;2adv_2;psa;Aalborg Universitetesforlag;køb;1898;1944;præ;NA;falsk;sandt;sandt;Voldsom kald til modstand;;;;;
133;19;Kaj Harald Leininger Munk;pr133_19;1943-12-25;1940-1945;jul_2;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
134;19;Kaj Harald Leininger Munk;pr134_19;1944-01-01;1940-1945;nyt_2;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;sidste prædiken af Munk;;;;;
135;20;Anker Bliddal;pr135_20;1961-02-26;1961-1963;2fas_1;psa;Unitas Forlag;køb;1904;1989;pro;kfu;falsk;sandt;sandt;;;;;;
136;20;Anker Bliddal;pr136_20;1961-06-04;1961-1963;1tri_1;psa;Unitas Forlag;køb;1904;1989;pro;kfu;falsk;sandt;sandt;;;;;;
137;20;Anker Bliddal;pr137_20;1961-12-07;1961-1963;3adv_2;psa;Unitas Forlag;køb;1904;1989;pro;kfu;falsk;sandt;sandt;;;;;;
138;20;Anker Bliddal;pr138_20;1962-07-01;1961-1963;2tri_2;psa;Unitas Forlag;køb;1904;1989;pro;kfu;falsk;sandt;sandt;;;;;;
139;20;Anker Bliddal;pr139_20;1963-01-03;1961-1963;1hel_1;psa;Unitas Forlag;køb;1904;1989;pro;kfu;falsk;sandt;sandt;;;;;;
140;20;Anker Bliddal;pr140_20;1963-08-25;1961-1963;11tri_2;psa;Unitas Forlag;køb;1904;1989;pro;kfu;falsk;sandt;sandt;;;;;;
141;21;Andreas Gottlob Rudelbach;pr141_21;31-07-1853;1853;10tri_1;1pre;C. G. Iversen;køb;1792;1862;præ;gru;sand_aff;sandt;falsk;;;;;;
142;22;Johannes Emil Schepelern;pr142_22;1940-01-28;1940-1945;sek_2;psa;Nyt Nordisk Forlag;køb;1872;1949;præ;tid;falsk;sandt;sandt;;;;;;
143;22;Johannes Emil Schepelern;pr143_22;1940-03-25;1940-1945;mbe_2;psa;Nyt Nordisk Forlag;køb;1872;1949;præ;tid;falsk;sandt;sandt;;;;;;
144;22;Johannes Emil Schepelern;pr144_22;1940-05-02;1940-1945;Krh_2;psa;Nyt Nordisk Forlag;køb;1872;1949;præ;tid;falsk;sandt;sandt;Om foråret over krigen;;;;;
